age,semester,attendance_percentage,previous_cgpa,mid_1,mid_2,internal_marks,backlogs,academic_average,attendance_risk_score,internal_average,mid_term_average,previous_cgpa_trend,backlog_severity_score,academic_stability,enc_gender_FEMALE,enc_gender_MALE,enc_gender_OTHER,enc_department_code_AI,enc_department_code_CIVIL,enc_department_code_CS,enc_department_code_DS,enc_department_code_ECE,enc_department_code_EEE,enc_department_code_IT,enc_department_code_MECH,enc_attendance_risk_category_AT_RISK,enc_attendance_risk_category_CRITICAL,enc_attendance_risk_category_NORMAL,enc_backlog_severity_category_MODERATE,enc_backlog_severity_category_NONE,enc_backlog_severity_category_SEVERE,target_cgpa
-2.0,-1.0,1.2586387434554978,0.5303703703703702,0.788702652764946,0.9943030763387776,1.2569286383719374,0.0,1.126311251616611,0.0,1.256928638371938,0.9643406516571107,0.0,0.0,-0.04620372872196704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.71
-2.0,-0.3333333333333333,1.0458638743455497,0.74962962962963,1.343011746073643,1.040384858842892,0.7235238987816303,0.0,1.154476217847391,0.0,0.723523898781631,1.2831771780170598,2.4666666666666663,0.0,-0.04620372872196704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.07
-1.0,0.3333333333333333,1.0014659685863885,0.8562962962962964,0.7052923320575414,0.8904924674009367,0.336859017271388,0.0,0.7279781577812896,0.0,0.33685901727138834,0.8625367081527053,1.1999999999999997,0.0,1.4690624155633611,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.43
-1.0,1.0,1.0006282722513096,0.7674074074074073,0.5421670845981255,0.9218888466894545,0.6062391217030388,0.0,0.7768357522632559,0.0,0.6062391217030393,0.7937351419381896,-0.9999999999999998,0.0,1.2166981896784652,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.45
0.0,-1.0,1.4379057591623041,0.6133333333333334,0.7459416655668464,0.8033928345360172,0.467532467532467,0.0,0.7561431240120704,0.0,0.46753246753246736,0.8362466787861832,0.0,0.0,-0.04620372872196704,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.44
0.0,-0.3333333333333333,0.9696335078534034,0.5896296296296292,0.4481984954467462,0.8925180402582608,0.6881778015798632,0.0,0.7607414858456671,0.0,0.6881778015798634,0.727730387358411,-0.2666666666666666,0.0,-0.04620372872196704,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.49
1.0,0.3333333333333333,0.7166492146596865,0.6014814814814818,1.3599049755840031,0.7699708823901761,0.5655375552282762,0.0,1.0015806868802983,0.0,0.5655375552282766,1.1433365962802398,0.1333333333333333,0.0,0.06187516887327749,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.87
1.0,1.0,0.4954973821989534,0.6844444444444441,0.8700013197835545,0.17445246233700437,0.4932387200428434,0.0,0.5727834458973989,0.0,0.49323872004284375,0.5548874283317012,0.9333333333333332,0.0,0.3423399081329371,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.55
0.0,-1.0,-0.5407329842931936,-0.15111111111111106,0.23861686683383893,-0.05241169768325089,0.017673048600883562,0.0,0.08765627245293893,0.0,0.017673048600883496,0.095091595581037,0.0,0.0,-0.04620372872196704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.49
0.0,-0.3333333333333333,0.007120418848168206,0.026666666666666623,0.25339844265540423,0.5689327763007976,0.43486410496719724,1.0,0.4773674378502652,0.0,0.43486410496719763,0.44581177457698146,1.9999999999999996,0.2,-0.04620372872196704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.4
